Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Кофе в зёрнах (Арабика);Напитки;кг;Основной склад;10.500;;1850.00;19425.00
00002;Кофе молотый;Напитки;кг;Основной склад;5.500;;1600.00;8800.00
00003;Молоко 3.2%;Молочные продукты;л;Основной склад;72.000;;92.00;6624.00
00004;Молоко овсяное (растит.);Молочные продукты;л;Основной склад;18.000;;210.00;3780.00
00005;Сливки 33%;Молочные продукты;л;Основной склад;5.000;;390.00;1950.00
00006;Какао-порошок;Кондитерские изделия;кг;Основной склад;1.200;;560.00;672.00
00007;Шоколад тёмный 70%;Кондитерские изделия;кг;Основной склад;1.000;;920.00;920.00
00008;Сахар-песок;Бакалея;кг;Основной склад;8.000;;72.00;576.00
00009;Сахар тростниковый;Бакалея;кг;Основной склад;6.000;;190.00;1140.00
00010;Сироп карамельный;Сиропы и добавки;л;Основной склад;7.500;;340.00;2550.00
00011;Сироп ванильный;Сиропы и добавки;л;Основной склад;5.000;;320.00;1600.00
00012;Корица молотая;Бакалея;кг;Основной склад;0.800;;480.00;384.00
00013;Ванильный экстракт;Бакалея;порц;Основной склад;210.000;;24.00;5040.00
00014;Чай чёрный листовой;Напитки;кг;Основной склад;3.200;;1200.00;3840.00
00015;Чай зелёный;Напитки;кг;Основной склад;1.400;;1350.00;1890.00
00016;Ирландский виски;Алкоголь;л;Основной склад;6.500;;2400.00;15600.00
00017;Вода питьевая;Напитки;л;Основной склад;140.000;;38.00;5320.00
00018;Лёд в кубиках;Гастрономия;кг;Основной склад;28.000;;65.00;1820.00
00019;Стакан бумажный 250 мл;Упаковка;шт;Основной склад;260.000;;8.20;2132.00
00020;Стакан бумажный 400 мл;Упаковка;шт;Основной склад;310.000;;11.50;3565.00
00021;Крышка для стакана;Упаковка;шт;Основной склад;520.000;;5.40;2808.00
00022;Трубочки;Упаковка;шт;Основной склад;1500.000;;1.20;1800.00
00023;Салфетки бумажные;Упаковка;уп;Основной склад;60.000;;45.00;2700.00
00024;Пакет бумажный;Упаковка;шт;Основной склад;3200.000;;3.60;11520.00
