Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Кофе в зёрнах (Арабика);Напитки;кг;Основной склад;13.000;;1850.00;24050.00
00002;Кофе молотый;Напитки;кг;Основной склад;7.000;;1600.00;11200.00
00003;Молоко 3.2%;Молочные продукты;л;Основной склад;88.000;;92.00;8096.00
00004;Молоко овсяное (растит.);Молочные продукты;л;Основной склад;42.000;;210.00;8820.00
00005;Сливки 33%;Молочные продукты;л;Основной склад;7.000;;390.00;2730.00
00006;Какао-порошок;Кондитерские изделия;кг;Основной склад;1.500;;560.00;840.00
00007;Шоколад тёмный 70%;Кондитерские изделия;кг;Основной склад;1.300;;920.00;1196.00
00008;Шоколад молочный;Кондитерские изделия;кг;Основной склад;8.000;;780.00;6240.00
00009;Сахар-песок;Бакалея;кг;Основной склад;10.000;;72.00;720.00
00010;Сахар тростниковый;Бакалея;кг;Основной склад;12.000;;190.00;2280.00
00011;Сироп карамельный;Сиропы и добавки;л;Основной склад;12.500;;340.00;4250.00
00012;Сироп ванильный;Сиропы и добавки;л;Основной склад;9.000;;320.00;2880.00
00013;Сироп ореховый (фундук);Сиропы и добавки;л;Основной склад;6.000;;360.00;2160.00
00014;Сироп клубничный;Сиропы и добавки;л;Основной склад;4.500;;300.00;1350.00
00015;Ванильный экстракт;Бакалея;порц;Основной склад;180.000;;24.00;4320.00
00016;Корица молотая;Бакалея;кг;Основной склад;1.200;;480.00;576.00
00017;Имбирь молотый;Бакалея;кг;Основной склад;0.600;;610.00;366.00
00018;Мёд цветочный;Бакалея;кг;Основной склад;5.000;;520.00;2600.00
00019;Чай чёрный листовой;Напитки;кг;Основной склад;5.500;;1200.00;6600.00
00020;Чай зелёный;Напитки;кг;Основной склад;2.800;;1350.00;3780.00
00021;Ирландский виски;Алкоголь;л;Основной склад;11.000;;2400.00;26400.00
00022;Вода питьевая;Напитки;л;Основной склад;220.000;;38.00;8360.00
00023;Лёд в кубиках;Гастрономия;кг;Основной склад;55.000;;65.00;3575.00
00024;Стакан бумажный 250 мл;Упаковка;шт;Основной склад;320.000;;8.20;2624.00
00025;Стакан бумажный 400 мл;Упаковка;шт;Основной склад;380.000;;11.50;4370.00
00026;Крышка для стакана;Упаковка;шт;Основной склад;610.000;;5.40;3294.00
00027;Трубочки;Упаковка;шт;Основной склад;2600.000;;1.20;3120.00
00028;Ложки деревянные;Упаковка;шт;Основной склад;1800.000;;0.90;1620.00
00029;Салфетки бумажные;Упаковка;уп;Основной склад;95.000;;45.00;4275.00
00030;Пакет бумажный;Упаковка;шт;Основной склад;5100.000;;3.60;18360.00
