Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Кофе в зёрнах (Арабика);Напитки;кг;Основной склад;7.500;;1850.00;13875.00
00002;Кофе молотый;Напитки;кг;Основной склад;4.000;;1600.00;6400.00
00003;Молоко 3.2%;Молочные продукты;л;Основной склад;54.000;;92.00;4968.00
00004;Сливки 33%;Молочные продукты;л;Основной склад;3.500;;390.00;1365.00
00005;Какао-порошок;Кондитерские изделия;кг;Основной склад;0.900;;560.00;504.00
00006;Шоколад тёмный 70%;Кондитерские изделия;кг;Основной склад;0.700;;920.00;644.00
00007;Сахар-песок;Бакалея;кг;Основной склад;5.000;;72.00;360.00
00008;Сироп карамельный;Сиропы и добавки;л;Основной склад;2.500;;340.00;850.00
00009;Чай чёрный листовой;Напитки;кг;Основной склад;1.100;;1200.00;1320.00
00010;Ирландский виски;Алкоголь;л;Основной склад;2.000;;2400.00;4800.00
00011;Вода питьевая;Напитки;л;Основной склад;60.000;;38.00;2280.00
00012;Стакан бумажный 250 мл;Упаковка;шт;Основной склад;190.000;;8.20;1558.00
00013;Крышка для стакана;Упаковка;шт;Основной склад;430.000;;5.40;2322.00
00014;Салфетки бумажные;Упаковка;уп;Основной склад;25.000;;45.00;1125.00
