дата,дата_время,тип_оплаты,карта,сумма,название_кофе
2026-03-01,2026-03-01 10:15:50.520,карта,ANON-0000-0000-0001,38.7,Латте
2026-03-01,2026-03-01 12:19:22.539,карта,ANON-0000-0000-0002,38.7,Горячий шоколад
2026-03-01,2026-03-01 12:20:18.089,карта,ANON-0000-0000-0002,38.7,Горячий шоколад
2026-03-01,2026-03-01 13:46:33.006,карта,ANON-0000-0000-0003,28.9,Американо
2026-03-01,2026-03-01 13:48:14.626,карта,ANON-0000-0000-0004,38.7,Латте
2026-03-01,2026-03-01 15:39:47.726,карта,ANON-0000-0000-0005,33.8,Американо с молоком
2026-03-01,2026-03-01 16:19:02.756,карта,ANON-0000-0000-0006,38.7,Горячий шоколад
2026-03-01,2026-03-01 18:39:03.580,карта,ANON-0000-0000-0007,33.8,Американо с молоком
2026-03-01,2026-03-01 19:22:01.762,карта,ANON-0000-0000-0008,38.7,Какао
2026-03-01,2026-03-01 19:23:15.887,карта,ANON-0000-0000-0008,33.8,Американо с молоком
2026-03-01,2026-03-01 19:29:17.391,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-03-02,2026-03-02 10:22:06.957,карта,ANON-0000-0000-0010,28.9,Американо
2026-03-02,2026-03-02 10:30:35.668,наличные,,40.0,Латте
2026-03-02,2026-03-02 10:41:41.249,карта,ANON-0000-0000-0011,33.8,Американо с молоком
2026-03-02,2026-03-02 11:59:45.484,карта,ANON-0000-0000-0012,33.8,Американо с молоком
2026-03-02,2026-03-02 14:38:35.535,карта,ANON-0000-0000-0013,28.9,Американо
2026-03-02,2026-03-02 16:37:24.475,карта,ANON-0000-0000-0014,33.8,Американо с молоком
2026-03-02,2026-03-02 17:34:54.969,карта,ANON-0000-0000-0004,28.9,Американо
2026-03-03,2026-03-03 10:10:43.981,наличные,,40.0,Латте
2026-03-03,2026-03-03 10:27:18.561,карта,ANON-0000-0000-0015,38.7,Латте
2026-03-03,2026-03-03 11:33:56.118,карта,ANON-0000-0000-0016,28.9,Кортадо
2026-03-03,2026-03-03 12:26:56.098,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-03,2026-03-03 13:09:36.321,карта,ANON-0000-0000-0017,38.7,Горячий шоколад
2026-03-03,2026-03-03 17:06:40.271,карта,ANON-0000-0000-0018,38.7,Какао
2026-03-03,2026-03-03 17:08:45.895,карта,ANON-0000-0000-0019,28.9,Кортадо
2026-03-03,2026-03-03 18:03:23.369,карта,ANON-0000-0000-0020,33.8,Американо с молоком
2026-03-03,2026-03-03 18:04:27.946,карта,ANON-0000-0000-0020,33.8,Американо с молоком
2026-03-03,2026-03-03 18:08:04.959,карта,ANON-0000-0000-0020,38.7,Горячий шоколад
2026-03-04,2026-03-04 10:03:51.994,карта,ANON-0000-0000-0001,38.7,Латте
2026-03-04,2026-03-04 10:54:50.958,карта,ANON-0000-0000-0021,38.7,Латте
2026-03-04,2026-03-04 11:05:16.184,карта,ANON-0000-0000-0012,33.8,Американо с молоком
2026-03-04,2026-03-04 14:04:37.734,карта,ANON-0000-0000-0022,24.0,Эспрессо
2026-03-05,2026-03-05 09:59:52.651,карта,ANON-0000-0000-0001,38.7,Латте
2026-03-05,2026-03-05 14:34:55.963,карта,ANON-0000-0000-0023,38.7,Латте
2026-03-05,2026-03-05 17:34:06.043,карта,ANON-0000-0000-0024,38.7,Латте
2026-03-05,2026-03-05 17:35:25.021,карта,ANON-0000-0000-0025,38.7,Горячий шоколад
2026-03-05,2026-03-05 17:36:28.571,карта,ANON-0000-0000-0026,38.7,Какао
2026-03-05,2026-03-05 17:37:13.659,карта,ANON-0000-0000-0027,38.7,Горячий шоколад
2026-03-05,2026-03-05 17:38:09.354,карта,ANON-0000-0000-0009,38.7,Горячий шоколад
2026-03-05,2026-03-05 17:56:15.776,карта,ANON-0000-0000-0028,28.9,Кортадо
2026-03-05,2026-03-05 18:01:31.242,карта,ANON-0000-0000-0028,38.7,Горячий шоколад
2026-03-06,2026-03-06 12:30:27.089,наличные,,35.0,Американо с молоком
2026-03-06,2026-03-06 13:24:07.667,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-06,2026-03-06 13:25:14.351,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-06,2026-03-06 14:52:01.761,карта,ANON-0000-0000-0029,38.7,Капучино
2026-03-06,2026-03-06 14:53:18.344,карта,ANON-0000-0000-0029,38.7,Капучино
2026-03-07,2026-03-07 10:08:58.945,наличные,,40.0,Латте
2026-03-07,2026-03-07 10:18:40.543,карта,ANON-0000-0000-0030,38.7,Горячий шоколад
2026-03-07,2026-03-07 11:03:58.976,карта,ANON-0000-0000-0031,38.7,Латте
2026-03-07,2026-03-07 11:25:43.977,наличные,,40.0,Латте
2026-03-07,2026-03-07 15:40:22.606,карта,ANON-0000-0000-0032,28.9,Американо
2026-03-07,2026-03-07 15:41:28.784,карта,ANON-0000-0000-0033,33.8,Американо с молоком
2026-03-08,2026-03-08 10:34:41.283,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-08,2026-03-08 12:22:28.653,карта,ANON-0000-0000-0034,38.7,Капучино
2026-03-08,2026-03-08 13:53:02.042,карта,ANON-0000-0000-0035,28.9,Американо
2026-03-08,2026-03-08 14:44:12.686,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-08,2026-03-08 14:45:11.048,карта,ANON-0000-0000-0033,28.9,Американо
2026-03-08,2026-03-08 14:46:11.155,карта,ANON-0000-0000-0012,33.8,Американо с молоком
2026-03-08,2026-03-08 18:57:51.451,карта,ANON-0000-0000-0036,38.7,Латте
2026-03-08,2026-03-08 18:59:24.941,карта,ANON-0000-0000-0037,38.7,Латте
2026-03-09,2026-03-09 11:49:37.292,наличные,,40.0,Горячий шоколад
2026-03-09,2026-03-09 12:05:15.559,карта,ANON-0000-0000-0038,24.0,Эспрессо
2026-03-09,2026-03-09 12:07:38.275,карта,ANON-0000-0000-0039,28.9,Американо
2026-03-09,2026-03-09 12:09:47.714,карта,ANON-0000-0000-0012,38.7,Капучино
2026-03-09,2026-03-09 12:13:03.521,карта,ANON-0000-0000-0040,28.9,Американо
2026-03-09,2026-03-09 12:14:26.458,карта,ANON-0000-0000-0040,28.9,Американо
2026-03-09,2026-03-09 13:09:22.229,карта,ANON-0000-0000-0041,38.7,Латте
2026-03-09,2026-03-09 13:41:06.167,карта,ANON-0000-0000-0042,33.8,Американо с молоком
2026-03-09,2026-03-09 13:53:10.408,карта,ANON-0000-0000-0043,28.9,Кортадо
2026-03-09,2026-03-09 13:54:36.828,карта,ANON-0000-0000-0043,38.7,Капучино
2026-03-09,2026-03-09 14:08:01.829,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-03-09,2026-03-09 14:26:52.873,карта,ANON-0000-0000-0044,38.7,Горячий шоколад
2026-03-09,2026-03-09 19:17:57.572,карта,ANON-0000-0000-0009,38.7,Капучино
2026-03-09,2026-03-09 19:19:10.084,карта,ANON-0000-0000-0009,38.7,Горячий шоколад
2026-03-10,2026-03-10 07:44:18.538,наличные,,30.0,Американо
2026-03-10,2026-03-10 07:45:29.441,наличные,,35.0,Американо с молоком
2026-03-10,2026-03-10 10:06:02.960,наличные,,40.0,Латте
2026-03-10,2026-03-10 11:19:20.764,карта,ANON-0000-0000-0045,24.0,Эспрессо
2026-03-10,2026-03-10 17:51:03.048,наличные,,35.0,Американо с молоком
2026-03-10,2026-03-10 19:34:00.478,карта,ANON-0000-0000-0046,38.7,Латте
2026-03-10,2026-03-10 19:35:54.712,карта,ANON-0000-0000-0046,28.9,Кортадо
2026-03-11,2026-03-11 10:18:46.724,наличные,,40.0,Латте
2026-03-11,2026-03-11 11:24:15.022,наличные,,40.0,Капучино
2026-03-11,2026-03-11 11:24:51.565,наличные,,30.0,Кортадо
2026-03-11,2026-03-11 11:26:44.221,наличные,,30.0,Американо
2026-03-11,2026-03-11 11:32:58.781,карта,ANON-0000-0000-0035,38.7,Капучино
2026-03-11,2026-03-11 16:24:26.401,карта,ANON-0000-0000-0047,28.9,Американо
2026-03-11,2026-03-11 16:25:45.664,карта,ANON-0000-0000-0047,38.7,Латте
2026-03-11,2026-03-11 16:50:49.608,карта,ANON-0000-0000-0048,28.9,Кортадо
2026-03-12,2026-03-12 10:15:00.297,наличные,,40.0,Латте
2026-03-12,2026-03-12 10:15:34.543,карта,ANON-0000-0000-0033,28.9,Американо
2026-03-12,2026-03-12 10:16:24.886,карта,ANON-0000-0000-0033,28.9,Кортадо
2026-03-12,2026-03-12 11:20:45.632,карта,ANON-0000-0000-0049,38.7,Горячий шоколад
2026-03-12,2026-03-12 12:46:23.275,карта,ANON-0000-0000-0004,33.8,Американо с молоком
2026-03-12,2026-03-12 12:47:26.027,карта,ANON-0000-0000-0004,28.9,Американо
2026-03-12,2026-03-12 16:15:43.325,карта,ANON-0000-0000-0050,28.9,Американо
2026-03-13,2026-03-13 11:06:43.038,карта,ANON-0000-0000-0048,38.7,Горячий шоколад
2026-03-13,2026-03-13 11:48:16.753,карта,ANON-0000-0000-0004,28.9,Американо
2026-03-13,2026-03-13 12:18:06.336,карта,ANON-0000-0000-0051,28.9,Американо
2026-03-13,2026-03-13 12:19:05.128,карта,ANON-0000-0000-0051,28.9,Американо
2026-03-13,2026-03-13 12:34:30.315,наличные,,25.0,Эспрессо
2026-03-13,2026-03-13 14:26:40.875,карта,ANON-0000-0000-0052,33.8,Американо с молоком
2026-03-13,2026-03-13 15:40:22.261,карта,ANON-0000-0000-0053,24.0,Эспрессо
2026-03-13,2026-03-13 15:41:20.424,карта,ANON-0000-0000-0053,24.0,Эспрессо
2026-03-13,2026-03-13 16:47:09.373,карта,ANON-0000-0000-0054,24.0,Эспрессо
2026-03-14,2026-03-14 10:02:12.241,наличные,,40.0,Латте
2026-03-14,2026-03-14 10:28:33.017,карта,ANON-0000-0000-0055,38.7,Латте
2026-03-14,2026-03-14 10:29:34.283,карта,ANON-0000-0000-0055,38.7,Горячий шоколад
2026-03-14,2026-03-14 13:27:29.536,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-14,2026-03-14 13:28:24.527,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-14,2026-03-14 13:51:59.905,карта,ANON-0000-0000-0056,33.8,Американо с молоком
2026-03-14,2026-03-14 13:52:56.248,карта,ANON-0000-0000-0057,24.0,Эспрессо
2026-03-14,2026-03-14 15:20:38.367,карта,ANON-0000-0000-0058,38.7,Латте
2026-03-14,2026-03-14 16:04:09.506,карта,ANON-0000-0000-0059,33.8,Американо с молоком
2026-03-14,2026-03-14 16:54:38.202,карта,ANON-0000-0000-0050,24.0,Эспрессо
2026-03-14,2026-03-14 18:58:55.854,карта,ANON-0000-0000-0019,38.7,Горячий шоколад
2026-03-14,2026-03-14 19:00:08.663,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-15,2026-03-15 10:02:16.533,наличные,,40.0,Латте
2026-03-15,2026-03-15 10:53:02.180,карта,ANON-0000-0000-0060,38.7,Горячий шоколад
2026-03-15,2026-03-15 18:19:27.922,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-16,2026-03-16 12:06:55.209,карта,ANON-0000-0000-0061,33.8,Американо с молоком
2026-03-16,2026-03-16 12:07:53.915,карта,ANON-0000-0000-0061,28.9,Американо
2026-03-16,2026-03-16 15:58:18.458,карта,ANON-0000-0000-0009,28.9,Кортадо
2026-03-16,2026-03-16 16:03:21.738,карта,ANON-0000-0000-0009,28.9,Кортадо
2026-03-16,2026-03-16 16:04:11.444,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-16,2026-03-16 17:58:07.241,карта,ANON-0000-0000-0062,33.8,Американо с молоком
2026-03-17,2026-03-17 10:10:21.399,наличные,,40.0,Латте
2026-03-17,2026-03-17 12:55:26.065,карта,ANON-0000-0000-0063,28.9,Кортадо
2026-03-18,2026-03-18 11:17:59.671,карта,ANON-0000-0000-0064,28.9,Кортадо
2026-03-18,2026-03-18 15:31:39.725,карта,ANON-0000-0000-0003,28.9,Американо
2026-03-18,2026-03-18 15:32:38.239,карта,ANON-0000-0000-0003,28.9,Американо
2026-03-18,2026-03-18 15:33:36.708,карта,ANON-0000-0000-0003,28.9,Американо
2026-03-19,2026-03-19 10:20:25.996,наличные,,30.0,Кортадо
2026-03-19,2026-03-19 14:02:21.536,карта,ANON-0000-0000-0065,38.7,Латте
2026-03-19,2026-03-19 14:03:19.765,карта,ANON-0000-0000-0065,38.7,Латте
2026-03-19,2026-03-19 15:04:36.309,карта,ANON-0000-0000-0049,38.7,Горячий шоколад
2026-03-19,2026-03-19 16:53:48.706,карта,ANON-0000-0000-0066,33.8,Американо с молоком
2026-03-19,2026-03-19 19:26:32.677,наличные,,40.0,Горячий шоколад
2026-03-20,2026-03-20 11:41:16.403,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-20,2026-03-20 12:21:07.728,наличные,,40.0,Латте
2026-03-20,2026-03-20 12:30:48.968,карта,ANON-0000-0000-0049,28.9,Кортадо
2026-03-20,2026-03-20 13:16:47.394,карта,ANON-0000-0000-0067,38.7,Капучино
2026-03-20,2026-03-20 16:42:38.117,карта,ANON-0000-0000-0050,38.7,Какао
2026-03-20,2026-03-20 17:50:28.781,карта,ANON-0000-0000-0068,38.7,Латте
2026-03-21,2026-03-21 10:18:56.977,наличные,,40.0,Капучино
2026-03-21,2026-03-21 12:25:09.194,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-21,2026-03-21 12:26:17.428,карта,ANON-0000-0000-0012,38.7,Капучино
2026-03-21,2026-03-21 17:21:01.453,наличные,,30.0,Американо
2026-03-21,2026-03-21 17:22:01.353,карта,ANON-0000-0000-0012,28.9,Кортадо
2026-03-21,2026-03-21 19:20:36.508,карта,ANON-0000-0000-0069,38.7,Латте
2026-03-22,2026-03-22 10:35:53.619,карта,ANON-0000-0000-0070,33.8,Американо с молоком
2026-03-22,2026-03-22 13:29:20.343,карта,ANON-0000-0000-0071,33.8,Американо с молоком
2026-03-22,2026-03-22 16:15:14.448,наличные,,40.0,Капучино
2026-03-22,2026-03-22 17:17:03.724,карта,ANON-0000-0000-0012,28.9,Американо
2026-03-22,2026-03-22 17:17:58.991,карта,ANON-0000-0000-0012,24.0,Эспрессо
2026-03-22,2026-03-22 17:20:49.490,карта,ANON-0000-0000-0050,28.9,Американо
2026-03-23,2026-03-23 10:43:59.559,карта,ANON-0000-0000-0072,38.7,Латте
2026-03-23,2026-03-23 10:45:07.157,карта,ANON-0000-0000-0073,33.8,Американо с молоком
2026-03-23,2026-03-23 13:10:07.661,карта,ANON-0000-0000-0074,38.7,Капучино
2026-03-23,2026-03-23 13:11:12.230,карта,ANON-0000-0000-0074,38.7,Какао
2026-03-23,2026-03-23 14:44:41.276,карта,ANON-0000-0000-0075,33.8,Американо с молоком
2026-03-23,2026-03-23 15:47:19.062,карта,ANON-0000-0000-0076,38.7,Латте
2026-03-23,2026-03-23 15:49:33.813,карта,ANON-0000-0000-0076,33.8,Американо с молоком
2026-03-23,2026-03-23 16:00:58.386,карта,ANON-0000-0000-0009,28.9,Кортадо
2026-03-24,2026-03-24 10:03:56.005,наличные,,40.0,Латте
2026-03-24,2026-03-24 18:45:08.397,карта,ANON-0000-0000-0077,38.7,Латте
2026-03-25,2026-03-25 10:31:47.250,карта,ANON-0000-0000-0009,38.7,Латте
2026-03-25,2026-03-25 11:16:25.671,наличные,,35.0,Американо с молоком
2026-03-25,2026-03-25 14:27:09.163,карта,ANON-0000-0000-0078,38.7,Латте
2026-03-25,2026-03-25 14:29:25.343,карта,ANON-0000-0000-0017,38.7,Латте
2026-03-25,2026-03-25 18:37:30.650,карта,ANON-0000-0000-0024,33.8,Американо с молоком
