Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;685,000;;42,00;28770,00
00002;Мука ржаная обдирная;Бакалея;кг;Основной склад;240,000;;46,00;11040,00
00003;Мука цельнозерновая;Бакалея;кг;Основной склад;90,000;;58,00;5220,00
00004;Вода питьевая;Бакалея;л;Основной склад;760,000;;12,00;9120,00
00005;Дрожжи прессованные;Бакалея;кг;Основной склад;24,000;;190,00;4560,00
00006;Соль поваренная;Бакалея;кг;Основной склад;35,000;;24,00;840,00
00007;Сахар-песок;Бакалея;кг;Основной склад;180,000;;58,00;10440,00
00008;Закваска пшеничная;Бакалея;кг;Основной склад;320,000;;210,00;67200,00
00009;Разрыхлитель теста;Бакалея;кг;Основной склад;58,000;;280,00;16240,00
00010;Ванильный экстракт;Бакалея;порц;Основной склад;160,000;;18,00;2880,00
00011;Масло сливочное 82.5%;Молочные продукты;кг;Основной склад;96,000;;720,00;69120,00
00012;Масло подсолнечное;Бакалея;л;Основной склад;42,000;;95,00;3990,00
00013;Молоко 3.2%;Молочные продукты;л;Основной склад;145,000;;78,00;11310,00
00014;Сливки 33%;Молочные продукты;л;Основной склад;58,000;;340,00;19720,00
00015;Сметана 20%;Молочные продукты;кг;Основной склад;26,000;;250,00;6500,00
00016;Творог 9%;Молочные продукты;кг;Основной склад;32,000;;320,00;10240,00
00017;Яйцо куриное С1;Молочные продукты;кг;Основной склад;78,000;;165,00;12870,00
00018;Сыр полутвёрдый;Гастрономия;кг;Основной склад;96,000;;690,00;66240,00
00019;Ветчина варёная;Гастрономия;кг;Основной склад;28,000;;580,00;16240,00
00020;Шоколад тёмный 54%;Кондитерские изделия;кг;Основной склад;52,000;;860,00;44720,00
00021;Шоколад молочный;Кондитерские изделия;кг;Основной склад;38,000;;780,00;29640,00
00022;Какао-порошок;Кондитерские изделия;кг;Основной склад;24,000;;520,00;12480,00
00023;Начинка фруктово-ягодная;Кондитерские изделия;кг;Основной склад;96,000;;340,00;32640,00
00024;Повидло яблочное;Кондитерские изделия;кг;Основной склад;48,000;;260,00;12480,00
00025;Миндаль очищенный;Кондитерские изделия;кг;Основной склад;74,000;;1240,00;91760,00
00026;Фундук;Кондитерские изделия;кг;Основной склад;40,000;;1320,00;52800,00
00027;Изюм светлый;Кондитерские изделия;кг;Основной склад;22,000;;480,00;10560,00
00028;Мак кондитерский;Бакалея;кг;Основной склад;14,000;;420,00;5880,00
00029;Кунжут белый;Бакалея;кг;Основной склад;12,000;;340,00;4080,00
00030;Кофе в зёрнах;Напитки;кг;Основной склад;64,000;;1450,00;92800,00
00031;Стакан бумажный с крышкой;Упаковка;шт;Основной склад;2100,000;;9,50;19950,00
00032;Пакет бумажный;Упаковка;шт;Основной склад;6800,000;;2,40;16320,00
00033;Пакет крафтовый с окном;Упаковка;шт;Основной склад;1400,000;;6,20;8680,00
00034;Пергамент для выпечки;Упаковка;шт;Основной склад;380,000;;4,80;1824,00
00035;Салфетки бумажные;Упаковка;уп;Основной склад;85,000;;45,00;3825,00
