Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;180,000;;42,00;7560,00
00002;Вода питьевая;Бакалея;л;Основной склад;240,000;;12,00;2880,00
00003;Дрожжи прессованные;Бакалея;кг;Основной склад;9,000;;190,00;1710,00
00004;Соль поваренная;Бакалея;кг;Основной склад;15,000;;24,00;360,00
00005;Сахар-песок;Бакалея;кг;Основной склад;55,000;;58,00;3190,00
00006;Закваска пшеничная;Бакалея;кг;Основной склад;90,000;;210,00;18900,00
00007;Ванильный экстракт;Бакалея;порц;Основной склад;70,000;;18,00;1260,00
00008;Масло сливочное 82.5%;Молочные продукты;кг;Основной склад;32,000;;720,00;23040,00
00009;Молоко 3.2%;Молочные продукты;л;Основной склад;48,000;;78,00;3744,00
00010;Сливки 33%;Молочные продукты;л;Основной склад;18,000;;340,00;6120,00
00011;Яйцо куриное С1;Молочные продукты;кг;Основной склад;21,000;;165,00;3465,00
00012;Шоколад тёмный 54%;Кондитерские изделия;кг;Основной склад;12,000;;860,00;10320,00
00013;Начинка фруктово-ягодная;Кондитерские изделия;кг;Основной склад;28,000;;340,00;9520,00
00014;Кофе в зёрнах;Напитки;кг;Основной склад;22,000;;1450,00;31900,00
00015;Стакан бумажный с крышкой;Упаковка;шт;Основной склад;650,000;;9,50;6175,00
00016;Пакет бумажный;Упаковка;шт;Основной склад;2200,000;;2,40;5280,00
