Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;2400,000;;42,00;100800,00
00002;Вода питьевая;Бакалея;л;Основной склад;1800,000;;12,00;21600,00
00003;Дрожжи прессованные;Бакалея;кг;Основной склад;38,000;;190,00;7220,00
00004;Соль поваренная;Бакалея;кг;Основной склад;46,000;;24,00;1104,00
00005;Сахар-песок;Бакалея;кг;Основной склад;120,000;;58,00;6960,00
00006;Масло сливочное 82.5%;Молочные продукты;кг;Основной склад;210,000;;720,00;151200,00
00007;Молоко 3.2%;Молочные продукты;л;Основной склад;95,000;;78,00;7410,00
00008;Яйцо куриное С1;Молочные продукты;кг;Основной склад;62,000;;165,00;10230,00
00009;Шоколад тёмный 54%;Кондитерские изделия;кг;Основной склад;34,000;;860,00;29240,00
00010;Начинка фруктово-ягодная;Кондитерские изделия;кг;Основной склад;88,000;;340,00;29920,00
00011;Стакан бумажный с крышкой;Упаковка;шт;Основной склад;1500,000;;9,50;14250,00
00012;Пакет бумажный;Упаковка;шт;Основной склад;24000,000;;2,40;57600,00
00013;Закваска пшеничная;Бакалея;кг;Основной склад;900,000;;210,00;189000,00
00014;Какао-порошок;Кондитерские изделия;кг;Основной склад;180,000;;520,00;93600,00
00015;Миндаль очищенный;Кондитерские изделия;кг;Основной склад;260,000;;1240,00;322400,00
00016;Сыр полутвёрдый;Гастрономия;кг;Основной склад;340,000;;690,00;234600,00
00017;Кофе в зёрнах;Напитки;кг;Основной склад;150,000;;1450,00;217500,00
00018;Сливки 33%;Молочные продукты;л;Основной склад;400,000;;340,00;136000,00
00019;Разрыхлитель теста;Бакалея;кг;Основной склад;75,000;;280,00;21000,00
00020;Ветчина варёная;Гастрономия;кг;Основной склад;-4,500;19,500;580,00;-2610,00
00021;Ванильный экстракт;Бакалея;порц;Основной склад;320,000;;18,00;5760,00
00022;Икра лососевая;Гастрономия;кг;Основной склад;3,000;;6800,00;20400,00
00023;Лимонад в бутылке 0.5;Напитки;шт;Основной склад;240,000;;62,00;14880,00
