Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;420.000;;58.00;24360.00
00002;Дрожжи прессованные;Бакалея;кг;Основной склад;18.000;;210.00;3780.00
00003;Соль поваренная;Бакалея;кг;Основной склад;30.000;;24.00;720.00
00004;Масло оливковое;Бакалея;кг;Основной склад;24.000;;950.00;22800.00
00005;Сыр моцарелла;Молочные продукты;кг;Основной склад;85.000;;640.00;54400.00
00006;Сыр пармезан;Молочные продукты;кг;Основной склад;12.000;;1650.00;19800.00
00007;Томаты свежие;Овощи и зелень;кг;Основной склад;60.000;;220.00;13200.00
00008;Соус томатный для пиццы;Соусы;кг;Основной склад;140.000;;180.00;25200.00
00009;Пепперони;Гастрономия;кг;Основной склад;35.000;;980.00;34300.00
00010;Бекон;Гастрономия;кг;Основной склад;18.000;;760.00;13680.00
00011;Ветчина варёная;Гастрономия;кг;Основной склад;22.000;;620.00;13640.00
00012;Филе куриное;Гастрономия;кг;Основной склад;40.000;;420.00;16800.00
00013;Говядина (фарш);Гастрономия;кг;Основной склад;15.000;;560.00;8400.00
00014;Шампиньоны;Овощи и зелень;кг;Основной склад;28.000;;310.00;8680.00
00015;Перец болгарский;Овощи и зелень;кг;Основной склад;25.000;;260.00;6500.00
00016;Лук красный;Овощи и зелень;кг;Основной склад;15.000;;120.00;1800.00
00017;Оливки зелёные;Овощи и зелень;кг;Основной склад;9.000;;450.00;4050.00
00018;Шпинат свежий;Овощи и зелень;кг;Основной склад;6.000;;380.00;2280.00
00019;Ананас консервированный;Консервы;кг;Основной склад;8.000;;240.00;1920.00
00020;Чеснок;Овощи и зелень;кг;Основной склад;5.000;;250.00;1250.00
00021;Соус альфредо;Соусы;кг;Основной склад;12.000;;340.00;4080.00
00022;Соус песто;Соусы;кг;Основной склад;6.000;;720.00;4320.00
00023;Соус барбекю;Соусы;кг;Основной склад;15.000;;260.00;3900.00
00024;Коробка для пиццы 30 см;Упаковка;шт;Основной склад;900.000;;18.00;16200.00
00025;Коробка для пиццы 35 см;Упаковка;шт;Основной склад;700.000;;22.00;15400.00
00026;Коробка для пиццы 40 см;Упаковка;шт;Основной склад;300.000;;28.00;8400.00
00027;Подложка для пиццы;Упаковка;шт;Основной склад;400.000;;6.50;2600.00
00028;Салфетки бумажные;Упаковка;уп;Основной склад;40.000;;45.00;1800.00
00029;Пакет бумажный;Упаковка;шт;Основной склад;1500.000;;3.60;5400.00
