Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;680.000;;58.00;39440.00
00002;Мука спельта цельнозерновая;Бакалея;кг;Основной склад;60.000;;190.00;11400.00
00003;Дрожжи прессованные;Бакалея;кг;Основной склад;30.000;;210.00;6300.00
00004;Соль поваренная;Бакалея;кг;Основной склад;55.000;;24.00;1320.00
00005;Сахар-песок;Бакалея;кг;Основной склад;40.000;;72.00;2880.00
00006;Масло оливковое;Бакалея;кг;Основной склад;45.000;;950.00;42750.00
00007;Сыр моцарелла;Молочные продукты;кг;Основной склад;150.000;;640.00;96000.00
00008;Сыр фета;Молочные продукты;кг;Основной склад;25.000;;780.00;19500.00
00009;Сыр полутвёрдый;Молочные продукты;кг;Основной склад;35.000;;690.00;24150.00
00010;Сыр пармезан;Молочные продукты;кг;Основной склад;20.000;;1650.00;33000.00
00011;Сыр гауда копчёный;Молочные продукты;кг;Основной склад;15.000;;810.00;12150.00
00012;Сыр бри;Молочные продукты;кг;Основной склад;8.000;;1450.00;11600.00
00013;Томаты свежие;Овощи и зелень;кг;Основной склад;95.000;;220.00;20900.00
00014;Соус томатный для пиццы;Соусы;кг;Основной склад;220.000;;180.00;39600.00
00015;Пепперони;Гастрономия;кг;Основной склад;55.000;;980.00;53900.00
00016;Бекон;Гастрономия;кг;Основной склад;30.000;;760.00;22800.00
00017;Ветчина варёная;Гастрономия;кг;Основной склад;35.000;;620.00;21700.00
00018;Прошутто;Гастрономия;кг;Основной склад;10.000;;1200.00;12000.00
00019;Салями острая;Гастрономия;кг;Основной склад;18.000;;890.00;16020.00
00020;Соппрессата;Гастрономия;кг;Основной склад;9.000;;1080.00;9720.00
00021;Капоколло;Гастрономия;кг;Основной склад;7.000;;1150.00;8050.00
00022;Филе куриное;Гастрономия;кг;Основной склад;65.000;;420.00;27300.00
00023;Говядина (фарш);Гастрономия;кг;Основной склад;25.000;;560.00;14000.00
00024;Свинина (фарш);Гастрономия;кг;Основной склад;20.000;;480.00;9600.00
00025;Креветки;Морепродукты;кг;Основной склад;12.000;;1500.00;18000.00
00026;Шампиньоны;Овощи и зелень;кг;Основной склад;45.000;;310.00;13950.00
00027;Перец болгарский;Овощи и зелень;кг;Основной склад;40.000;;260.00;10400.00
00028;Перец халапеньо;Овощи и зелень;кг;Основной склад;6.000;;340.00;2040.00
00029;Лук красный;Овощи и зелень;кг;Основной склад;25.000;;120.00;3000.00
00030;Лук репчатый;Овощи и зелень;кг;Основной склад;30.000;;90.00;2700.00
00031;Оливки зелёные;Овощи и зелень;кг;Основной склад;14.000;;450.00;6300.00
00032;Шпинат свежий;Овощи и зелень;кг;Основной склад;10.000;;380.00;3800.00
00033;Руккола;Овощи и зелень;кг;Основной склад;5.000;;520.00;2600.00
00034;Артишок консервированный;Овощи и зелень;кг;Основной склад;9.000;;620.00;5580.00
00035;Кукуруза консервированная;Овощи и зелень;кг;Основной склад;18.000;;180.00;3240.00
00036;Ананас консервированный;Консервы;кг;Основной склад;12.000;;240.00;2880.00
00037;Чеснок;Овощи и зелень;кг;Основной склад;8.000;;250.00;2000.00
00038;Томаты вяленые;Консервы;кг;Основной склад;4.000;;850.00;3400.00
00039;Кинза свежая;Овощи и зелень;кг;Основной склад;3.000;;480.00;1440.00
00040;Соус альфредо;Соусы;кг;Основной склад;20.000;;340.00;6800.00
00041;Соус песто;Соусы;кг;Основной склад;10.000;;720.00;7200.00
00042;Соус барбекю;Соусы;кг;Основной склад;25.000;;260.00;6500.00
00043;Соус чипотле;Соусы;кг;Основной склад;8.000;;290.00;2320.00
00044;Коробка для пиццы 30 см;Упаковка;шт;Основной склад;1400.000;;18.00;25200.00
00045;Коробка для пиццы 35 см;Упаковка;шт;Основной склад;1100.000;;22.00;24200.00
00046;Коробка для пиццы 40 см;Упаковка;шт;Основной склад;500.000;;28.00;14000.00
00047;Подложка для пиццы;Упаковка;шт;Основной склад;600.000;;6.50;3900.00
00048;Салфетки бумажные;Упаковка;уп;Основной склад;70.000;;45.00;3150.00
00049;Пакет бумажный;Упаковка;шт;Основной склад;2600.000;;3.60;9360.00
