Код;Наименование;Группа;Единица измерения;Склад;Количество;Докупить;Себестоимость;Сумма
00001;Мука пшеничная в/с;Бакалея;кг;Основной склад;150.000;;58.00;8700.00
00002;Дрожжи прессованные;Бакалея;кг;Основной склад;6.000;;210.00;1260.00
00003;Соль поваренная;Бакалея;кг;Основной склад;12.000;;24.00;288.00
00004;Масло оливковое;Бакалея;кг;Основной склад;8.000;;950.00;7600.00
00005;Сыр моцарелла;Молочные продукты;кг;Основной склад;30.000;;640.00;19200.00
00006;Сыр пармезан;Молочные продукты;кг;Основной склад;4.000;;1650.00;6600.00
00007;Томаты свежие;Овощи и зелень;кг;Основной склад;22.000;;220.00;4840.00
00008;Соус томатный для пиццы;Соусы;кг;Основной склад;45.000;;180.00;8100.00
00009;Пепперони;Гастрономия;кг;Основной склад;12.000;;980.00;11760.00
00010;Бекон;Гастрономия;кг;Основной склад;6.000;;760.00;4560.00
00011;Ветчина варёная;Гастрономия;кг;Основной склад;8.000;;620.00;4960.00
00012;Филе куриное;Гастрономия;кг;Основной склад;14.000;;420.00;5880.00
00013;Шампиньоны;Овощи и зелень;кг;Основной склад;9.000;;310.00;2790.00
00014;Перец болгарский;Овощи и зелень;кг;Основной склад;8.000;;260.00;2080.00
00015;Лук красный;Овощи и зелень;кг;Основной склад;5.000;;120.00;600.00
00016;Оливки зелёные;Овощи и зелень;кг;Основной склад;3.000;;450.00;1350.00
00017;Ананас консервированный;Консервы;кг;Основной склад;3.000;;240.00;720.00
00018;Соус барбекю;Соусы;кг;Основной склад;5.000;;260.00;1300.00
00019;Коробка для пиццы 30 см;Упаковка;шт;Основной склад;300.000;;18.00;5400.00
00020;Коробка для пиццы 35 см;Упаковка;шт;Основной склад;200.000;;22.00;4400.00
00021;Подложка для пиццы;Упаковка;шт;Основной склад;120.000;;6.50;780.00
00022;Салфетки бумажные;Упаковка;уп;Основной склад;15.000;;45.00;675.00
00023;Пакет бумажный;Упаковка;шт;Основной склад;400.000;;3.60;1440.00
